Google Ads campaign,Nth week,Google Ads cost,Google Ads impressions,Active users
md_pmax_детские_товары_питание,55,66573.946805,419682,700
md_pmax_детские_товары_подгузники,45,66480.913253,384044,713
md_pmax_продукты_питания_напитки_кофе,41,66479.735533,538128,896
md_pmax_алкоголь_виски,22,66167.62,675294,595
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,15,66118.549835,386061,485
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,21,66039.18,285972,602
md_pmax_товары_для_дома,14,65948.14,875443,896
md_pmax_товары_для_здоровья_спортивное_питание,38,65934.011289,718039,394
md_pmax_алкоголь_пиво,6,65815.43,917026,514
md_pmax_алкоголь_вино_игристое,27,65762.285291,607831,475
md_pmax_детские_товары_подгузники,35,65673.582286,446419,626
md_pmax_продукты_питания_напитки_холодные_вода,14,65638.098557,706810,567
md_pmax_алкоголь_пиво,42,65637.032204,807528,871
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,40,65564.244382,357264,560
md_pmax_алкоголь_пиво,7,65512.63,935807,561
md_pmax_детские_товары_питание,53,65468.75219,350994,555
md_pmax_красота_и_уход_лореаль,34,65460.307189,893967,682
md_pmax_детские_товары_питание,54,65197.80674,382981,599
md_pmax_зоотовары_собаки_кормление,15,65083.46,369194,523
brand_shopping,49,65059.967195,1477716,3325
md_pmax_алкоголь_пиво,30,65058.84,865441,881
md_pmax_алкоголь_виски,0,65023.43,666736,507
md_pmax_товары_для_здоровья_БАДы,39,64954.383681,1156980,1015
md_pmax_продукты_питания_напитки_кофе,37,64831.595209,619882,738
md_pmax_продукты_питания_напитки_кофе,57,64597.179402,477423,834
md_pmax_зоотовары_коты_кормление,24,64487.100668,462230,723
md_pmax_детские_товары_игрушки_лего,28,64425.476299,758079,953
md_pmax_алкоголь_вино,15,64422.88,773492,577
md_pmax_детские_товары_игрушки_a,30,64406.142465,971146,1059
md_pmax_продукты_питания_напитки_кофе,53,64330.607848,524172,744
md_pmax_зоотовары_коты_кормление,25,64313.910908,457001,719
md_pmax_продукты_питания_кондитерка_конфеты,29,64211.989942,902676,584
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,33,64147.404208,367384,498
md_pmax_алкоголь_пиво,50,64122.662622,748364,759
shop_st_товары_для_дома_хоз_инвентарь,49,64113.737403,425964,665
md_pmax_детские_товары_питание,25,64027.979005,455043,481
md_pmax_алкоголь_пиво,18,63980.84,841928,679
md_pmax_детские_товары_питание,43,63965.318101,431306,769
md_pmax_зоотовары_коты_кормление,47,63965.09765,338704,815
pr_mega_demgen_taro25_2505,52,63951.020211,676637,144
md_pmax_продукты_питания_напитки_кофе,56,63893.30924,518518,805
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,8,63851.78,358025,419
md_pmax_зоотовары_коты_кормление,10,63808.6,469912,741
md_pmax_продукты_питания_напитки_кофе,45,63717.378752,528098,897
md_pmax_зоотовары_коты_кормление,28,63523.649491,428482,735
md_pmax_детские_товары_питание,35,63361.18725,548189,523
